par_id,art_id,keyword,country,text,label,orig_label
55,@@9305263,disabled,jm,"over the past 15 years , the show has handed over more than $50 million to the mustard seed communities to assist with the care of more than 400 abandoned , disabled , hiv/aids-affected children , and pregnant teenagers being accommodated in its 12 homes across the island . <h> advertisement",0,1
56,@@9890957,homeless,nz,"people who are homeless , those who were once homeless , those working with the homeless and concerned new zealanders are being asked to share their experiences and solutions to this growing issue with the cross-party homelessness inquiry . more&gt;&gt;",0,0
57,@@925986,migrant,gb,she said : ' it may be the fact that immigrants from east european countries are better educated and more attached to the labour market than the native population .,0,1
58,@@3224696,homeless,lk,he said that they have witnessed the tragedy the people of nepal are currently experiencing . he went on to state that it is an emotional time for all . he said that thousands have lost their lives owing to this earthquake while many have been rendered homeless and destitute .,0,0
59,@@15973393,in-need,ng,"we have been a leader on so many fronts , not just on this continent but also in the world -- from our attainment of independence , to our development of a democracy that maintains at its core a pledge of stability and a respect for the rule of law , to our formation of much-needed peacekeeping and other humanitarian missions for other nations in need .",0,0
60,@@20227078,homeless,ke,"life on the streets , she remarks , was really no different from home , where she often slept hungry or out in the cold when the landlord locked them out . awino will therefore always be grateful to that kind man who came to her rescue and took her to boma rescue center , a home that provides temporary shelter for homeless children .",0,1
61,@@16668574,poor-families,gh,mwesigwa said ' youth have to learn lessons from good example of heroes who contributed in the liberation struggle . ' the community service was conducted at cell level in all districts of rwanda last saturday morning with thousands of youth participants to clean schools and make renovation of houses for poor families .,0,1
62,@@50048209,vulnerable,gb,"' i can say that at fifty-three , but when i was nineteen or twenty i was vulnerable . i didn ? ? ? t know better . ' ?",0,0
63,@@18615742,migrant,gh,they told all immigrants workers who desire to return to their countries or communities as a result of joblessness and has become stranded due to the government 's policy to depart peacefully and safely without fear of intimidation at the destination points of entry and arrival .,0,0
64,@@13699547,migrant,ke,"by agence france presse , brussels , belgium , aug 5 -- fears are mounting in the european union that its months-old pact with turkey to curb migrant flows could collapse as a rift deepens over ankara 's crackdown following a failed coup .",0,0
65,@@15172256,homeless,ca,"the homeless shelter provides a secure environment to sleep at night but nothing can be left there during the day , even if the individual is returning that night . the champion centre now offers a locked room with shelves where personal items can be stored , said schnee . lockers with a lock and key would be preferable .",0,0
66,@@9492573,migrant,pk,"in january 2015 , fico had stated that slovakia will not be able to bear entry of hundreds of thousands of muslim migrants who would construct mosques across the state and would transform the values and traditions of the country .",0,0
67,@@2055117,poor-families,za,masemola said the students were all from poor families and had lost a lot of money preparing for the trip .,0,0
68,@@3295868,vulnerable,ph,""""""" data centers are especially vulnerable here in the philippines because of the increased possibility of fluctuations and outages , """" says santos .""",0,0
69,@@3571432,refugee,au,"developing countries shoulder the most significant burden , hosting around 86% of the world 's refugees , compared to 70% ten years ago . turkey , lebanon and pakistan each host more than 1 million refugees . <h> verdict",0,0
70,@@40022298,migrant,sg,italy sharply criticised new u.n . human rights chief michelle bachelet on tuesday after she announced she would send investigators to the country to check reports of racism and violence against migrants .,0,0
71,@@21860657,women,sg,"but how often should we shave if we no longer have in-between days ? well , we are all born different and so is our hair . everyone 's hair grows differently so there is no right or wrong answer as to how often we should shave . some women do it every day , while others have the privilege of waiting longer in-between shaves . as time goes by , we will slowly no more about our body and eventually find the right schedule that works . <h> 4 ) ' i can shave without water when i 'm in a hurry '",0,0
72,@@19441106,migrant,my,he said the maximum punishment should be imposed to make them realise the department was serious about the employment of illegal immigrants following sufficient time having been given to them ( employers ) to register their workers under the e-card programme which expired on june 30 .,0,0
73,@@25665376,refugee,hk,"""many suffered in appalling conditions in detention centres , set up to deal with the influx of migrants , as public opinion turned to """" refugee fatigue . """" the original camps were open and allowed inhabitants to work in hong kong and travel freely , but by 1982 , the opposite was in effect , and refugees languished in """" closed """" detention centres , sometimes for years .""",0,0
74,@@20827089,homeless,nz,"in the past month , four major hurricanes -- category 3 or higher -- have churned through the caribbean and atlantic ocean . hurricanes irma , jose , katia and maria caused major damage to island nations in the caribbean , as well as continental north and central america , devastating the lives of millions of people and leaving hundreds of thousands homeless and displaced .",0,0
75,@@10016647,vulnerable,gb,"""chief inspector nicola shepherd , who led the investigation , said : """" for a number of years these men , who were placed in a position of trust , carried out prolonged abuse on a significant number of vulnerable young people .""",0,0
76,@@18327302,vulnerable,za,"' ' no human being should go through this kind of ordeal . the security agencies and state governments should continue to provide special protection to educational institutions vulnerable to this kind of outrage especially in remote areas , ' ' he said .",0,0
77,@@22454828,homeless,nz,"in september , major nottle set off on foot from melbourne to canberra to plead for a national solution to the homeless problem .",1,3
78,@@17256815,women,lk,"""but prabha was one of the few fortunate women to have a lot of family support . """" my husband , parents and siblings all stood by me throughout those difficult times . my husband was a great support . he would segregate my medicines and staple together the required dosage to be taken at a time , so that i did not over or under eat any medicine . family support is very crucial , because then you can damn the world . if the family 's psychological support is not there , no amount of outside support can help . adherence is the key word and it is the family who can take the patient to complete the treatment journey . i was a psychologist ; yet none of my coping mechanisms worked . just imagine the plight of those patients who have no treatment literacy and other support """" , she said .""",0,1
79,@@15019103,vulnerable,ng,"""he said : """" to neutralise the attraction of terror ideology among our youth and other vulnerable persons , the international community led by united states of america must support nigeria to fight corruption , repatriate stolen funds and get out of economic recession as quickly as possible .""",0,0
80,@@20105190,poor-families,my,"for sjkc chung hua sibuti , the maybank volunteers helped repaint the building 's walls , repaired broken door frames at the school toilets , donated uniforms to 10 schoolchildren from poor families as well as four iron racks and 10 boxes of a4 papers to the school .",0,0
81,@@18579949,refugee,ie,"yet the report said refugees and migrants get far more attention than the millions displaced inside their countries by conflict , violence and disasters .",0,0
82,@@16649916,vulnerable,pk,"starbucks is vulnerable to international consumer protests against trump policies because it has a significant , very visible global footprint in 75 countries .",0,0
83,@@4672144,homeless,pk,"the demographics of pakistan and india are very similar . poverty is a widespread issue . according to the fao , 40 percent of children in pakistan are malnourished and underweight due to lack of access to adequate food . and this is not because there is n't enough ; pakistan is the 8th largest food producing country , however , 50 percent of the population is food insecure . with the massive income inequality that persists , rha is a brilliant movement . we collect leftover or extra food from restaurants and distribute it to the homeless and hungry in the locality .",1,3
84,@@4608429,vulnerable,pk,"nevertheless , the schism within the ahmadiyya community and mirza muhammad ahmad 's unabashed claims left the movement vulnerable against accusations of being heretical .",0,0
85,@@25504610,women,ie,"vaila barsley plays in sweden for eskilstuna united and represented england at youth level , although she has gone on to become an international with the scotland women 's team .",0,0
86,@@3876235,refugee,ca,the refugees are staying with a family in cowichan bay until moving into their own accommodation in duncan .,0,0
87,@@22011888,hopeless,my,""""""" ecological conversion """" calls for a change in our lifestyle . this means that true transformation of the world must come from within each one of us , not from without . we must choose sacrifice over want , sharing over greed , and serving the common good of all creation over convenience . only then can we truly be disciples of hope in a seemingly hopeless situation .""",0,0
88,@@4789100,in-need,ie,"freeman 's aim is to open a pieta house service in queens ' new york irish center within 6-8 months which will provide mental health counseling for the irish in need within the greater new york city area . they have also been in contact with irish centers in boston , chicago and d.c. about expansion .",0,0
89,@@3317664,poor-families,au,""""""" unbelievable . they 're pitting two poor families against each other and making them feel guilty about helping somebody for our entertainment ? """"""",0,0
90,@@3085929,in-need,za,"skin needling is a safe and precise way to traumatise the skin to stimulate collagen , based on the above principal . it results in a smoother , firmer and younger looking skin .",0,0
91,@@22447789,disabled,hk,"however , this year he met a group of enthusiastic disabled runners as well paralympic games competitors at an event in hong kong .",0,0
92,@@16707961,refugee,au,"during call with australian pm on refugees , trump pulled phone away from ear and says he wants off call , which ends abruptly per source .",0,0
93,@@1852200,in-need,tz,"most african flag independent states are under economic oppression , a bondage which is not very different from the colonial rules of the 1900 -- 1970 world . this modern world is a world in the midst of economic dependence and a lot of people in need of help . in other words the political environment under neo-colonial rule of today is not different from the political environment during colonial times where the struggles for independence began .",0,0
94,@@4654878,immigrant,jm,"""the section states : """" the following commonwealth citizens ( not being persons deemed to belong to the island as defined by sub section ( 2 ) of section 2 ) are prohibited immigrants . ( h ) any person who , from information or advice which in the opinion of the minister is reliable information or advice , is deemed by the minister to be an undesirable inhabitant of or visitor to the island . """"""",0,0
95,@@9746788,immigrant,au,"careful here . the way society has changed has upset many people and we unfairly mock these concerns . seemingly unrestricted immigration with no effort at community building is objectively a bad thing . the breakdown of community is validly distressing to some people . when you have an obsession with identity politics , everybody having multiple and conflicting loyalties , this troubles some people . a strong society is one where we are all committed to common values and goals . yes we live in a pluralistic society , but the desire for cultural connections runs just as strong in anglo-saxon australians as it does for fresh off the plane immigrants . <h> socrates :",0,0
96,@@70055048,women,us,"""in the wake of the sexual-assault allegations against supreme court nominee brett kavanaugh , reporters began to more closely examine his time at yale . as an undergraduate , he was a member of delta kappa epsilon , a well-known """" party frat """" that rose to national infamy in 2011 after videos circulated of recruits chanting , """" no means yes , yes means anal . """" after graduation , he went on to clerk for the now-disgraced judge alex kozinski , who retired last yearafter more than 15 women accused him of subjecting them to unwanted , inappropriate sexual behavior for years . ( kavanaugh claims he had no knowledge of kozinski 's alleged misconduct , but skeptics find that unlikely . )""",0,0
97,@@4635069,poor-families,jm,""""""" the government , in its drive to ensure the inclusion of vulnerable groups in the productive workforce ( is ) making provision for the participation of working-aged adults in the labour market , who are from poor families in receipt of welfare assistance , """" he said .""",0,0
98,@@15438640,immigrant,pk,the golden state is home to the country 's largest number of illegal immigrants -- an estimated 2.4 million -- and officials say members of the community are terrified since the mogul pulled off one of the most improbable presidential wins in modern history on november 8 .,0,0
99,@@25281193,in-need,my,the departures from london will barely put a dent in s&amp;p 's overall presence in europe 's main financial centre . but peterson warned britain needed to provide clarity on key post-brexit regulatory arrangements to ensure there is n't more upheaval .,0,0
100,@@9531208,migrant,ph,""""""" filipino seafarers have been given inadequate attention in our society . despite incidents of abduction , unjust compensation and on-board accidents that have been reported , no legislation has been passed to protect and uphold their rights . most of the policies and programs catering to the needs of migrant workers are designed for land-based workers , """" the senator stressed .""",0,0
101,@@18575081,in-need,bd,"""according to jim gouveia , a licensed clinical social worker and a counselor at caps , the purpose of gatekeeper trainings is to educate people to be aware of the signs and symptoms of suicide , how to ask the question , """" have you thought about suicide ? """" and how to get mental health help and assistance for those in need .""",0,0
102,@@20277745,refugee,za,"when asked how governments should respond to the global refugee crisis , more than half ( 55.4% ) claimed that more should be done to include refugees in the national workforce . just 3.5% said that refugees should be deported .",0,0
103,@@3525243,migrant,au,"the country is one of the largest sources of migrants arriving on europe 's shores , despite a total population smaller than that of london . adjusted for its population , a larger proportion of eritreans arrive than syrians or afghans .",0,0
104,@@14849953,refugee,nz,dr nina zimmerman was contracted by the united nations to visit nauru in april and gauge the level of mental disorder within the thousand refugees marooned there .,0,0
105,@@4678368,hopeless,pk,"satisfaction lies in permitting others to live , not living others ' lives . never try to clutch someone else ' share , always reproduce your own complexion and gore . people swallowed helpless and hopeless but still sobbed due to plea of their conscience . i have grasped and wiped those tears who were the reason of their own cause .",0,1
106,@@19981947,women,za,"join the girl power ministry in worship <h> prophet bongi ndimande , president of the girl power ministry ( gpm ) , invites women and girls to the sixth annual conference of gpm that will be held at the sasol kinross club from 25 to 26 august .",0,0
107,@@16900972,homeless,ke,"""his present """" chambers """" may be quite humble , but shiyani has the tiny space very neatly organized and clean . many people pass him by but do not manage to see him , because the space is partially hidden behind trees , which gives him a relative privacy . """" there are many homeless sleeping around the station , """" captain xoli mbele , from the nearby johannesburg central police station said .""",1,3
108,@@4656992,vulnerable,jm,"""it identifies barriers to reproductive health and rights and states : """" adolescents are particularly vulnerable because of their lack of information and access to relevant services in most countries . """"""",0,0
109,@@17322530,immigrant,in,""""""" right now , only about one out of 15 immigrants that we admit to this country every year come based on those criteria . the president has said in public , as he told us yesterday , that he wants to move in the direction of , for instance , canada and australia , and focused on more of what he calls a merit-based system . our legislation is the first step in that , """" he said .""",0,0
110,@@4846254,immigrant,us,many of the workers are immigrants who do n't speak english and have little formal education .,0,0
111,@@7849643,in-need,nz,"aussie blogger constance hall has raised more than $150,000 with the help of her ' queens ' to help kenyan girls in need .",0,1
112,@@25160721,homeless,sg,"she has turned her modest home into a safe haven for the vulnerable , especially the elderly who find themselves homeless and living on the streets .",0,1
113,@@17683925,vulnerable,pk,"""islamabad : pakistan , which is ranked as the seventh most vulnerable country , despite its less than one per cent contribution to climate altering global emissions , has now what we call a """" climate change law """" after the enactment of the pakistan climate change act of 2016 . like many others , being a humble student of law , political science and chemical/environmental engineering , i consider it as a meaningful legislation on climate change .""",0,0
114,@@25687572,migrant,za,"on 9 june , the aquarius , a ship carrying 629 refugees rescued in the mediterranean , was refused the right to dock in italy . this is part of a wholesale attack launched by salvini on humanitarian rescue ships operated by ngos . since then , other ngo ships have been refused entry . in a shocking move -- and in clear violation of international and national laws -- the italian coast guard is now unwilling to intervene when called for help to rescue immigrants and refugees at risk of drowning in libyan waters .",0,0
115,@@22756125,in-need,sg,"""mr tan noted that psa has performed reasonably well against the challenging backdrop and tough competition . """" in addition , we are also preparing for a future where logistics and supply chain needs are transformed by new technology , trade , manufacturing and e-commerce dynamics , """" he said .""",0,0
116,@@24205211,poor-families,sg,sister yosephina said human traffickers exploit poor families from rural areas by tricking them into thinking they are sending their daughters off to a better job and a better life .,0,0
117,@@21706143,immigrant,ke,"the pioneer shona immigrants , though recognized by kenya ? s founding fathers , were never granted citizenship , a situation that has continued to date .",0,0
118,@@24885862,in-need,za,"""this is the rhetoric of what anthropologist laura agust ? n calls the """" rescue industry """" - a term used to describe people and institutions who conceptualize all sex workers as victims in need of saving . catherine mackinnon has argued , for example , that """" in prostitution , women have sex with men they would never otherwise have sex with .""",1,4
119,@@23479041,homeless,au,"the bill reveals just how much libraries , which are open to the public and welcome homeless people , have had to cope with the crisis : library workers in towns and cities across new york describe finding used syringes and glassine envelopes in doorways and patrons slumped over in bathrooms .",0,0
120,@@17633092,migrant,ng,"though criticised by some liberals for his anti-immigrant nationalist stance , navalny has tapped into discontent among the young urban middle class with fiery speeches and western-style campaigning .",0,0
121,@@9472338,refugee,lk,""""""" the old card does bring a lot of problems and we hope the new one , which has enhanced security features , will help in the management of refugees in the country , """" he said .""",0,0
122,@@7348632,refugee,au,"""kate and julian are one of melbourne 's most prominent couples through their work in the law , arts and refugee advocacy . they launched spare rooms for refugees and have welcomed seven asylum seekers into their homes for extended periods . the couple has worked hard on the cause for 14 years . """" it has demanded a lot of time , """" says julian . """" without kate 's continued enthusiasm for the idea it would not have been possible for me to keep doing it . """" julian says it has changed his life hugely . """" i would say it 's been one of the big , big turning points in my existence . """"""",0,0
123,@@20841654,women,nz,"could it be that these women understand , like few others , what it is to be valued for their appearance above and beyond anything else ? might they realise that without their appearance , they have no brand , no iconic status , no clout ? for proof , you can google evangelista , who was quickly hunted down by paparazzi that same week , and the cruel ways in which she was described in headlines .",0,0
124,@@2599892,immigrant,hk,"""the ruling by the judge , released thursday , said that would-be immigrants """" have no right to force """" the government to fulfill the promise of the investor immigration program that was canceled in february despite having around 60,000 applications outstanding .""",0,0
125,@@21983572,immigrant,my,"many have brought stories of horrific abuses at the hands of the myanmar military and local buddhist mobs , including rape , arson and murder . myanmar regards them as illegal immigrants from bangladesh and refuses them citizenship .",0,0
126,@@7205684,poor-families,nz,"the changes to be implemented from april 1 will increase the in work tax credit part of wff to $72.50 per week . when work is insecure , and hours are irregular poor families may not meet the conditions to access this important weekly payment for their children . those on benefits likewise do not qualify . to make serious cost-effective inroads into child poverty , cpag urges the government to extend this tax credit to all low income families .",0,0
127,@@24638267,in-need,za,cook goes down holding his ankle and is in need of treatment .,0,0
128,@@9921472,immigrant,ie,"bouhlel certainly matches the classic profile of french violent islamic extremist in many ways - though he is a relatively recent arrival rather than born in the country of immigrant parents , as is more usually the case .",0,0
129,@@8473878,women,pk,"the bill had been proposed in may 2015 , but faced obstruction in the punjab assembly . according to punjab government , the bill is comprehensive and brings several previously ignored offences within its ambit , and covers domestic violence , emotional , economic and psychological abuse , cyber crime , stalking and abetting of offenders . unlike previous laws , it introduces an ingenious implementation mechanism . it proposes the setting up of 24-hour , women-run , district violence-against-women centres . the centres will have all required services , including first aid , police reporting , fir lodging , prosecution , medical examination , forensics and post-trauma rehabilitation under one roof , and accessible to women . a toll-free helpline will be set up where women could call for assistance , legal advice , prompt evidence collection and immediate protection .",0,0
130,@@7477982,hopeless,za,"the hotline provides free telephonic counselling every day of the year for people who feel desperate , helpless or hopeless , and feel like committing suicide .",0,0
131,@@1277016,immigrant,ph,"nancy ching , the daughter of immigrants from taiwan , opened the school with 15 students in 2004 , the year after south korea first moved from the u.s. column to the china column . today she has 60 .",0,0
